formula_pretty,e_above_hull,bandgap,is_magnetic,mat_id
Rb3CuCl,0.33348528,0.0,False,agm002448065
Rb3CuF,0.24676591,0.0,False,agm002473915
Rb3CuGe,0.5741925,0.0,True,agm002463559
Rb3CuH,0.2736559,0.0,False,agm002496718
Rb3CuHg,0.31457695,0.0,True,agm002464204
Rb3CuI,0.37797102,0.0,False,agm002464206
Rb3CuIr,0.88035595,0.0,True,agm002464209
Rb3CuMo,1.220489,0.0,True,agm002464213
Rb3CuN,0.64991194,0.0,True,agm002535128
Rb3CuNi,0.69818914,0.0,True,agm002554468
Rb3CuO,0.24060895,0.1991,False,agm002176310
Rb3CuOs,1.345621,0.311,True,agm002464216
Rb3CuP,0.51103026,0.0,True,agm002573067
Rb3CuPb,0.4256283,0.0,True,agm002464219
Rb3CuPd,0.39205912,0.1427,False,agm002464220
Rb3CuPt,0.60153985,0.4591,False,agm002464222
Rb3CuRe,1.5459543,0.0,True,agm002464224
Rb3CuRh,0.7390416,0.0,True,agm002464225
Rb3CuRu,1.12253,0.0,True,agm002464227
Rb3CuS,0.2956541,1.3942,False,agm002584429
Rb3CuSb,0.4995342,0.0,True,agm002464229
Rb3CuSe,0.32611087,1.431,False,agm002464693
Rb3CuSi,0.68452525,0.0,True,agm002600183
Rb3CuSn,0.46888348,0.0,True,agm002464231
Rb3CuTc,1.525923,0.0,False,agm002464235
Rb3CuTe,0.38020992,1.351,False,agm002464236
Rb3CuW,1.5157212,0.0,True,agm002464241
Rb3FeAg,0.8409244,0.0,True,agm002477826
Rb3FeAs,0.8608675,0.0,True,agm002476249
Rb3FeAu,0.88837326,0.0,True,agm002477828
Rb3FeB,1.8531998,0.0,True,agm002411349
Rb3FeBi,0.9442116,0.0,True,agm002477830
Rb3FeBr,0.8060341,0.0,True,agm002476434
Rb3FeC,1.6119028,0.0,True,agm002431778
Rb3FeCl,0.7300467,0.0,True,agm002448225
Rb3FeCo,1.354352,0.0,True,agm002476657
Rb3FeCu,0.93680394,0.0,True,agm002476838
Rb3FeF,0.5048442,0.0,True,agm002466118
Rb3FeGe,0.98401815,0.0,True,agm002477090
Rb3FeH,0.68154013,0.0,True,agm002493995
Rb3FeHg,0.81017935,0.0,True,agm002477838
Rb3FeI,0.8340599,0.0,True,agm002477839
Rb3FeIr,1.3388423,0.0,True,agm002477843
Rb3FeMo,1.833528,0.0,True,agm002477845
Rb3FeN,1.1692713,0.0,True,agm002535173
Rb3FeNi,1.180414,0.0,True,agm002477664
Rb3FeO,0.83397025,0.0,True,agm002557310
Rb3FeOs,1.80555,0.0,True,agm002477848
Rb3FeP,0.9877412,0.0,True,agm002572103
Rb3FePb,0.9453153,0.0,True,agm002477850
Rb3FePd,0.8014218,0.0,True,agm002477852
Rb3FePt,0.8674091,0.0,True,agm002477854
Rb3FeRe,2.0762224,0.0,True,agm002477855
Rb3FeRh,1.200541,0.0,True,agm002477856
Rb3FeRu,1.6433127,0.0,True,agm002477857
Rb3FeS,1.1752053,0.0,True,agm002584591
Rb3FeSb,0.90619045,0.0,True,agm002477858
Rb3FeSe,0.8068782,0.0,True,agm002478280
Rb3FeSi,1.2676662,0.0,True,agm002603124
Rb3FeTe,0.85333323,0.0,True,agm002477860
Rb3GaAg,0.36794785,0.0,False,agm002481540
Rb3GaAs,0.48466542,0.0,True,agm002480460
Rb3GaAu,0.30195114,0.0,False,agm002481542
Rb3GaB,1.0358093,0.0,False,agm002403572
Rb3GaBi,0.51615745,0.0,True,agm002481545
Rb3GaBr,0.31502715,0.0,False,agm002480656
Rb3GaC,1.0993332,0.0,True,agm002431800
Rb3GaCl,0.27551675,0.0,False,agm002448370
Rb3GaCo,1.084165,0.0,True,agm002453756
Rb3GaCu,0.5032494,0.0,False,agm002463422
Rb3GaF,0.20248047,0.0,False,agm002473951
Rb3GaFe,1.00721,0.0,True,agm002476970
Rb3GaGe,0.5654135,0.0,True,agm002480917
Rb3GaH,0.2150737,0.0,False,agm002496789
Rb3GaHg,0.28971842,0.0,False,agm002481554
Rb3GaI,0.38236633,0.0,True,agm002481555
Rb3GaIr,1.0388595,0.0,True,agm002481559
Rb3GaMo,1.3009582,0.0,True,agm002481561
Rb3GaN,0.8057555,0.0,True,agm002536372
Rb3GaNi,0.82940847,0.0,True,agm002554613
Rb3GaO,0.43352112,0.0,True,agm002559617
Rb3GaOs,1.4016762,0.0,True,agm002481563
Rb3GaP,0.54808044,0.0,True,agm002572120
Rb3GaPb,0.50443286,0.0,True,agm002481566
Rb3GaPd,0.6078578,0.0,True,agm002481567
Rb3GaPt,0.5820574,0.0,True,agm002481569
Rb3GaRe,1.5792274,0.0,True,agm002481572
Rb3GaRh,0.9637965,0.0,False,agm002481573
Rb3GaRu,1.27416,0.0,True,agm002481575
Rb3GaS,0.36910138,0.0,True,agm002584737
Rb3GaSb,0.5168616,0.0,True,agm002481577
Rb3GaSe,0.3919014,0.0,True,agm002482042
Rb3GaSi,0.64366263,0.0,True,agm002598333
Rb3GaSn,0.56026036,0.0,True,agm002481580
Rb3GaTc,1.3717245,0.0,True,agm002481586
Rb3GaTe,0.43734154,0.0,True,agm002481587
Rb3GaW,1.5828404,0.0,True,agm002481592
Rb3GeAs,0.54680645,0.0,True,agm002484080
Rb3GeAu,0.39383373,0.0,True,agm002485030
Rb3GeB,1.1373725,0.0,True,agm002412712
Rb3GeBi,0.5902277,0.0,True,agm002485034
Rb3GeBr,0.3825986,0.0,True,agm002484273
Rb3GeC,1.3903346,0.0,False,agm002432962
Rb3GeCl,0.3300114,0.0,True,agm002448508
Rb3GeF,0.22019507,0.0,True,agm002468388
Rb3GeH,0.23955749,0.0,True,agm002495363
Rb3GeI,0.3888771,0.0,True,agm002485044
Rb3GeIr,1.0889599,0.0,True,agm002485047
Rb3GeMo,1.3063409,0.0,True,agm002485049
Rb3GeN,0.7353669,0.0,True,agm002538793
Rb3GeO,0.46627957,0.0,True,agm002563051
Rb3GeOs,1.457283,0.0534,True,agm002485052
Rb3GeP,0.5796563,0.0,True,agm002569413
Rb3GePb,0.58019024,0.0,True,agm002485054
Rb3GePd,0.58172894,0.0,True,agm002485055
Rb3GePt,0.60124534,0.4851,True,agm002485057
Rb3GeRh,1.1860278,0.0,True,agm002485061
Rb3GeRu,1.3353727,0.0,True,agm002485062
Rb3GeS,0.42717665,0.3948,True,agm002584875
Rb3GeSb,0.60149735,0.0,True,agm002485064
Rb3GeSe,0.45423338,0.4543,True,agm002485531
Rb3GeTe,0.5047807,0.5456,True,agm002485072
Rb3GeW,1.6089362,0.0,True,agm002485077
Rb3HAu,0.09182205,0.0,False,agm002497080
Rb3HBr,0.22498132,0.0,False,agm002492348
Rb3HC,1.0387087,0.0,True,agm002486877
Rb3HCl,0.2813776,0.0,False,agm002495210
Rb3HF,0.3124942,0.0,False,agm002488357
Rb3HI,0.18383257,0.0,False,agm002495677
Rb3HIr,0.6985364,0.0,True,agm002487386
Rb3HN,0.62343234,0.0,True,agm002490000
Rb3HO,0.24243507,1.127,False,agm002494225
Rb3HOs,1.1086084,0.0,True,agm002491504
Rb3HPb,0.13779822,0.0,True,agm002492916
Rb3HPd,0.15680212,0.8911,False,agm002494282
Rb3HPt,0.19632255,1.0856,False,agm002495679
Rb3HRh,0.5407941,0.0,True,agm002487388
Rb3HRu,0.8589699,0.0535,True,agm002488686
Rb3HS,0.104020394,2.4265,False,agm002494338
Rb3HSe,0.060153086,2.3441,False,agm002495773
Rb3HW,1.2275442,0.0,True,agm002488688
Rb3HfAg,1.1518208,0.0,True,agm002574876
Rb3HfAl,1.5490427,0.0,True,agm002394169
Rb3HfAs,1.763503,0.0,True,agm002401654
Rb3HfAu,1.4140565,0.0,True,agm002574997
Rb3HfB,2.044765,0.0,True,agm002409041
Rb3HfBe,1.6069947,0.0,True,agm002424199
Rb3HfBi,1.2465746,0.0,True,agm002574998
Rb3HfBr,1.066588,0.0,True,agm002426261
Rb3HfC,2.3324504,0.0,True,agm002430750
Rb3HfCd,1.171494,0.0,True,agm002574944
Rb3HfCl,1.0266134,0.0,True,agm002449645
Rb3HfCo,2.0230143,0.0,True,agm002454625
Rb3HfCr,1.6890423,0.0,True,agm002459653
Rb3HfCu,1.2992821,0.0,True,agm002464202
Rb3HfF,0.9783776,0.0,True,agm002467415
Rb3HfFe,2.1182225,0.0,True,agm002477836
Rb3HfGa,1.4324985,0.0,True,agm002481552
Rb3HfGe,1.5118771,0.0,True,agm002485040
Rb3HfH,1.0626795,0.0,True,agm002492914
Rb3HfHg,1.1199906,0.0,True,agm002575000
Rb3HfI,1.1408832,0.0,True,agm002575031
Rb3HfIn,1.2838033,0.0,True,agm002575060
Rb3HfIr,2.151333,0.0,False,agm002575002
Rb3HfMg,1.2619573,0.0,True,agm002524233
Rb3HfMn,2.2322512,0.0,True,agm002529018
Rb3HfMo,2.2090394,0.0,True,agm002575119
Rb3HfN,2.1745422,0.0,True,agm002537818
Rb3HfNb,2.081979,0.0,True,agm002575169
Rb3HfNi,1.6406939,0.0,True,agm002555362
Rb3HfO,1.5730617,0.0,True,agm002557565
Rb3HfOs,2.5506861,0.0,False,agm002575004
Rb3HfP,1.5551883,0.0,True,agm002568534
Rb3HfPb,1.2795557,0.0,True,agm002575005
Rb3HfPd,1.3782238,0.0,True,agm002575229
Rb3HfPt,1.5657872,0.0,True,agm002575007
Rb3HfRe,2.6957006,0.0,False,agm002575009
