epoch, batch, loss, loss_force_constant, loss_e, f_mae, e/N_mae, force_constant_mae
    3,    15,       1.7157e+05,       1.2922e+05,            42350,        0.0025746,           205.79,       1.2922e+05
    3,    16,            64999,            45038,            19961,           3.8319,           141.28,            45038
    3,    17,            94661,            66757,            27904,       0.00015372,           167.04,            66757
    3,    18,       1.4198e+05,       1.3988e+05,           2095.1,           49.584,           45.772,       1.3988e+05
    3,    19,       1.0227e+05,            96978,           5297.2,           92.894,           72.782,            96978
    3,    20,            81897,            75962,           5934.8,        0.0033643,           77.038,            75962
    3,    21,            66058,            65492,           565.33,           14.086,           23.777,            65492
    3,    22,            58453,            50987,           7465.6,       0.00052772,           86.404,            50987
    3,    23,            19375,            12095,           7280.7,       0.00016091,           85.327,            12095
    3,    24,            38936,            35430,           3506.1,       0.00028486,           59.213,            35430
    3,    25,            95364,            95344,           20.893,       0.00045199,           4.5708,            95344
    3,    26,            30156,            30128,           27.261,        0.0002553,           5.2212,            30128
    3,    27,       1.9957e+05,       1.8205e+05,            17513,       0.00088462,           132.34,       1.8205e+05
    3,    28,            76423,            68837,           7585.3,           30.345,           87.094,            68837
    4,     1,       1.8151e+05,       1.6717e+05,            14337,        0.0008149,           119.74,       1.6717e+05
    4,     2,       1.7586e+05,       1.7282e+05,           3041.4,        0.0013003,           55.148,       1.7282e+05
    4,     3,            34642,            33700,           941.62,       0.00023336,           30.686,            33700
    4,     4,            10790,            10568,           221.55,       0.00018027,           14.884,            10568
    4,     5,            92397,            12122,            80275,       0.00036448,           283.33,            12122
    4,     6,       2.2565e+05,        2.256e+05,           49.976,           86.085,           7.0694,        2.256e+05
    4,     7,            42103,            33087,           9016.4,       0.00016154,           94.955,            33087
    4,     8,            62218,            62173,           44.547,           27.115,           6.6744,            62173
    4,     9,            27300,            26167,           1133.1,       0.00027308,           33.662,            26167
    4,    10,            20262,            19587,           675.18,       0.00015292,           25.984,            19587
    4,    11,            48469,            48096,           372.97,       0.00033446,           19.312,            48096
    4,    12,            30067,            27512,           2555.9,           9.0302,           50.556,            27512
    4,    13,            38149,            37790,           358.41,        0.0010607,           18.932,            37790
    4,    14,            25005,            24988,           17.519,       0.00020444,           4.1855,            24988
    4,    15,           7170.9,           5471.5,           1699.5,       0.00017194,           41.225,           5471.5
    4,    16,            19776,            17792,           1984.7,       0.00020769,            44.55,            17792
    4,    17,            20847,            20422,           424.59,       0.00040651,           20.605,            20422
    4,    18,            40430,            36938,           3492.7,           80.631,           59.099,            36938
    4,    19,            52388,            40745,            11644,           13.382,           107.91,            40745
    4,    20,            47167,            37353,           9814.4,        0.0053251,           99.067,            37353
    4,    21,            34710,            32269,           2441.5,           4.3191,           49.411,            32269
    4,    22,            48873,            47476,           1396.5,            34.49,           37.369,            47476
    4,    23,            24509,            24127,           381.98,           43.171,           19.544,            24127
    4,    24,            19602,            19568,           34.384,       0.00046374,           5.8637,            19568
    4,    25,            21604,            15004,           6599.9,           10.269,            81.24,            15004
    4,    26,            35945,            32190,           3755.7,        0.0001121,           61.284,            32190
    4,    27,            21017,            18902,           2114.4,            4.389,           45.983,            18902
    4,    28,            64039,            54933,           9106.5,       0.00073867,           95.428,            54933
    5,     1,            22080,            20753,           1326.5,           44.512,           36.421,            20753
    5,     2,            41111,            40035,           1076.4,           32.073,           32.808,            40035
    5,     3,            50179,            14495,            35684,           7.9411,            188.9,            14495
    5,     4,            40945,            33699,             7246,            24.97,           85.123,            33699
    5,     5,            25216,            23983,           1232.3,       0.00026157,           35.104,            23983
    5,     6,            17197,            16787,           410.13,       0.00046963,           20.252,            16787
    5,     7,            13514,            13456,           58.074,       0.00020102,           7.6207,            13456
    5,     8,            25012,            24428,           584.03,        0.0010878,           24.167,            24428
    5,     9,           8000.4,           6455.5,           1544.9,       0.00013894,           39.306,           6455.5
    5,    10,            61631,            61331,           300.38,       0.00079337,           17.332,            61331
    5,    11,            13446,            13424,           21.965,       0.00017834,           4.6867,            13424
    5,    12,            19475,            15862,           3612.6,           16.703,           60.105,            15862
    5,    13,            20204,            20204,         0.088708,       0.00022159,          0.29784,            20204
    5,    14,            32833,            32341,           491.77,         0.006138,           22.176,            32341
    5,    15,           9182.1,           6431.2,           2750.8,       0.00021755,           52.448,           6431.2
    5,    16,            25588,            25316,           272.12,       0.00015456,           16.496,            25316
    5,    17,            20621,           3403.2,            17218,       0.00026116,           131.22,           3403.2
    5,    18,            29799,            23518,           6280.4,           19.909,           79.249,            23518
    5,    19,            17352,            15949,           1403.2,       0.00019691,           37.459,            15949
    5,    20,            37378,            35240,           2138.5,       0.00016063,           46.244,            35240
    5,    21,            15110,            13094,           2015.2,       0.00046427,           44.891,            13094
    5,    22,            15714,            15709,           4.8108,            6.191,           2.1934,            15709
    5,    23,            27675,            27072,           603.69,       0.00030452,            24.57,            27072
    5,    24,            53052,            52018,           1034.1,       0.00036339,           32.158,            52018
    5,    25,            83305,            80425,           2879.9,           40.729,           53.665,            80425
    5,    26,            46529,            45821,           708.67,       0.00073192,           26.621,            45821
    5,    27,            43627,            41170,           2457.2,           74.492,            49.57,            41170
    5,    28,            19025,            17509,           1515.4,           10.572,           38.928,            17509
    6,     1,            54419,            44476,           9943.6,       0.00041006,           99.717,            44476
    6,     2,            24564,            22608,           1956.4,           22.741,           44.231,            22608
    6,     3,            19577,            17259,           2318.6,       0.00020733,           48.152,            17259
    6,     4,            16169,            15966,           203.43,       0.00019697,           14.263,            15966
    6,     5,            15918,            15841,           76.826,       0.00074953,            8.765,            15841
    6,     6,            69415,            69410,           5.1104,           49.125,           2.2606,            69410
    6,     7,            10259,             5772,           4487.3,        0.0002205,           66.987,             5772
    6,     8,            14727,            14668,           59.188,           32.764,           7.6934,            14668
    6,     9,            27802,            27679,           122.68,           17.951,           11.076,            27679
    6,    10,            20965,            17816,           3149.1,       0.00014096,           56.116,            17816
    6,    11,            18611,            18144,           466.08,           4.1736,           21.589,            18144
    6,    12,           9096.9,           8622.9,           474.02,          0.75413,           21.772,           8622.9
    6,    13,            22251,            18572,           3678.8,       0.00057636,           60.653,            18572
    6,    14,            13602,            13001,           601.82,        0.0004422,           24.532,            13001
    6,    15,            19999,            17300,           2699.2,           16.012,           51.954,            17300
    6,    16,            34389,            34142,           247.61,        0.0012438,           15.736,            34142
    6,    17,            26751,            25218,           1532.6,       0.00023472,           39.149,            25218
    6,    18,           2153.8,           2087.9,           65.891,       6.7537e-05,           8.1173,           2087.9
    6,    19,            10940,            10461,           478.66,       0.00017894,           21.878,            10461
    6,    20,            14738,            14683,           55.131,       0.00018249,            7.425,            14683
    6,    21,            22105,            21797,           308.58,       0.00010938,           17.566,            21797
    6,    22,           5742.2,           4958.4,           783.82,        9.088e-05,           27.997,           4958.4
    6,    23,            13350,            12402,           948.19,           12.804,           30.793,            12402
    6,    24,           4300.3,           3855.4,           444.84,       0.00015403,           21.091,           3855.4
